Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
96	-17	17	1740	96	-17	17	1740	96	-17	17	1740	96	-17	17	1740	96	-17	17	1740	96	-17	17	1740
97	-18	18	1758	97	-18	18	1758	97	-18	18	1758	97	-18	18	1758	97	-18	18	1758	97	-18	18	1758
98	-15	15	1773	98	-15	15	1773	98	-15	15	1773	98	-15	15	1773	98	-15	15	1773	98	-15	15	1773
99	-17	17	1790	99	-17	17	1790	99	-17	17	1790	99	-17	17	1790	99	-17	17	1790	99	-17	17	1790
100	-21	21	1811	100	-21	21	1811	100	-21	21	1811	100	-21	21	1811	100	-21	21	1811	100	-21	21	1811
101	-18	18	1829	101	-18	18	1829	101	-18	18	1829	101	-18	18	1829	101	-18	18	1829	101	-18	18	1829
102	-17	17	1846	102	-17	17	1846	102	-17	17	1846	102	-17	17	1846	102	-17	17	1846	102	-17	17	1846
103	-17	17	1863	103	-17	17	1863	103	-17	17	1863	103	-17	17	1863	103	-17	17	1863	103	-17	17	1863
104	-15	15	1878	104	-15	15	1878	104	-15	15	1878	104	-15	15	1878	104	-15	15	1878	104	-15	15	1878
105	-117	18	1896	105	-117	18	1896	105	-117	18	1896	105	-117	18	1896	105	-117	18	1896	105	-117	18	1896
106	-18	18	1914	106	-18	18	1914	106	-18	18	1914	106	-18	18	1914	106	-18	18	1914	106	-18	18	1914
107	-17	17	1931	107	-17	17	1931	107	-17	17	1931	107	-17	17	1931	107	-17	17	1931	107	-17	17	1931
108	-16	16	1947	108	-16	16	1947	108	-16	16	1947	108	-16	16	1947	108	-16	16	1947	108	-16	16	1947
109	-15	15	1962	109	-15	15	1962	109	-15	15	1962	109	-15	15	1962	109	-15	15	1962	109	-15	15	1962
110	-15	15	1977	110	-15	15	1977	110	-15	15	1977	110	-15	15	1977	110	-15	15	1977	110	-15	15	1977
111	-17	17	1994	111	-17	17	1994	111	-17	17	1994	111	-17	17	1994	111	-17	17	1994	111	-17	17	1994
112	-22	22	2016	112	-22	22	2016	112	-22	22	2016	112	-22	22	2016	112	-22	22	2016	112	-22	22	2016
113	-19	19	2035	113	-19	19	2035	113	-19	19	2035	113	-19	19	2035	113	-19	19	2035	113	-19	19	2035
114	-18	18	2053	114	-18	18	2053	114	-18	18	2053	114	-18	18	2053	114	-18	18	2053	114	-18	18	2053
115	-17	17	2070	115	-17	17	2070	115	-17	17	2070	115	-17	17	2070	115	-17	17	2070	115	-17	17	2070
116	-19	19	2089	116	-19	19	2089	116	-19	19	2089	116	-19	19	2089	116	-19	19	2089	116	-19	19	2089
117	-17	17	2106	117	-17	17	2106	117	-17	17	2106	117	-17	17	2106	117	-17	17	2106	117	-17	17	2106
118	-19	19	2125	118	-19	19	2125	118	-19	19	2125	118	-19	19	2125	118	-19	19	2125	118	-19	19	2125
119	-17	17	2142	119	-17	17	2142	119	-17	17	2142	119	-17	17	2142	119	-17	17	2142	119	-17	17	2142
120	-17	17	2159	120	-17	17	2159	120	-17	17	2159	120	-17	17	2159	120	-17	17	2159	120	-17	17	2159
121	-17	17	2176	121	-17	17	2176	121	-17	17	2176	121	-17	17	2176	121	-17	17	2176	121	-17	17	2176
122	-19	19	2195	122	-19	19	2195	122	-19	19	2195	122	-19	19	2195	122	-19	19	2195	122	-19	19	2195
123	-15	15	2210	123	-15	15	2210	123	-15	15	2210	123	-15	15	2210	123	-15	15	2210	123	-15	15	2210
124	-18	18	2228	124	-18	18	2228	124	-18	18	2228	124	-18	18	2228	124	-18	18	2228	124	-18	18	2228
125	-15	15	2243	125	-15	15	2243	125	-15	15	2243	125	-15	15	2243	125	-15	15	2243	125	-15	15	2243
126	-21	21	2264	126	-21	21	2264	126	-21	21	2264	126	-21	21	2264	126	-21	21	2264	126	-21	21	2264
127	-15	15	2279	127	-15	15	2279	127	-15	15	2279	127	-15	15	2279	127	-15	15	2279	127	-15	15	2279
128	-22	22	2301	128	-22	22	2301	128	-22	22	2301	128	-22	22	2301	128	-22	22	2301	128	-22	22	2301
129	-19	19	2320	129	-19	19	2320	129	-19	19	2320	129	-19	19	2320	129	-19	19	2320	129	-19	19	2320
130	-18	18	2338	130	-18	18	2338	130	-18	18	2338	130	-18	18	2338	130	-18	18	2338	130	-18	18	2338
131	-15	15	2353	131	-15	15	2353	131	-15	15	2353	131	-15	15	2353	131	-15	15	2353	131	-15	15	2353
132	-126	27	2380	132	-126	27	2380	132	-126	27	2380	132	-126	27	2380	132	-126	27	2380	132	-126	27	2380
133	-15	15	2395	133	-15	15	2395	133	-15	15	2395	133	-15	15	2395	133	-15	15	2395	133	-15	15	2395
134	-15	15	2410	134	-15	15	2410	134	-15	15	2410	134	-15	15	2410	134	-15	15	2410	134	-15	15	2410
135	-19	19	2429	135	-19	19	2429	135	-19	19	2429	135	-19	19	2429	135	-19	19	2429	135	-19	19	2429
136	-23	23	2452	136	-23	23	2452	136	-23	23	2452	136	-23	23	2452	136	-23	23	2452	136	-23	23	2452
137	-22	22	2474	137	-22	22	2474	137	-22	22	2474	137	-22	22	2474	137	-22	22	2474	137	-22	22	2474
138	-15	15	2489	138	-15	15	2489	138	-15	15	2489	138	-15	15	2489	138	-15	15	2489	138	-15	15	2489
139	-16	16	2505	139	-16	16	2505	139	-16	16	2505	139	-16	16	2505	139	-16	16	2505	139	-16	16	2505
140	-15	15	2520	140	-15	15	2520	140	-15	15	2520	140	-15	15	2520	140	-15	15	2520	140	-15	15	2520
141	-18	18	2538	141	-18	18	2538	141	-18	18	2538	141	-18	18	2538	141	-18	18	2538	141	-18	18	2538
142	-17	17	2555	142	-17	17	2555	142	-17	17	2555	142	-17	17	2555	142	-17	17	2555	142	-17	17	2555
143	-17	17	2572	143	-17	17	2572	143	-17	17	2572	143	-17	17	2572	143	-17	17	2572	143	-17	17	2572
144	-19	19	2591	144	-19	19	2591	144	-19	19	2591	144	-19	19	2591	144	-19	19	2591	144	-19	19	2591
145	-17	17	2608	145	-17	17	2608	145	-17	17	2608	145	-17	17	2608	145	-17	17	2608	145	-17	17	2608
146	-15	15	2623	146	-15	15	2623	146	-15	15	2623	146	-15	15	2623	146	-15	15	2623	146	-15	15	2623
147	-15	15	2638	147	-15	15	2638	147	-15	15	2638	147	-15	15	2638	147	-15	15	2638	147	-15	15	2638
148	-15	15	2653	148	-15	15	2653	148	-15	15	2653	148	-15	15	2653	148	-15	15	2653	148	-15	15	2653
149	-17	17	2670	149	-17	17	2670	149	-17	17	2670	149	-17	17	2670	149	-17	17	2670	149	-17	17	2670
150	-15	15	2685	150	-15	15	2685	150	-15	15	2685	150	-15	15	2685	150	-15	15	2685	150	-15	15	2685
151	-15	15	2700	151	-15	15	2700	151	-15	15	2700	151	-15	15	2700	151	-15	15	2700	151	-15	15	2700
152	-19	19	2719	152	-19	19	2719	152	-19	19	2719	152	-19	19	2719	152	-19	19	2719	152	-19	19	2719
153	-23	23	2742	153	-23	23	2742	153	-23	23	2742	153	-23	23	2742	153	-23	23	2742	153	-23	23	2742
154	-15	15	2757	154	-15	15	2757	154	-15	15	2757	154	-15	15	2757	154	-15	15	2757	154	-15	15	2757
155	-21	21	2778	155	-21	21	2778	155	-21	21	2778	155	-21	21	2778	155	-21	21	2778	155	-21	21	2778
156	-15	15	2793	156	-15	15	2793	156	-15	15	2793	156	-15	15	2793	156	-15	15	2793	156	-15	15	2793
157	-115	16	2809	157	-115	16	2809	157	-115	16	2809	157	-115	16	2809	157	-115	16	2809	157	-115	16	2809
158	-15	15	2824	158	-15	15	2824	158	-15	15	2824	158	-15	15	2824	158	-15	15	2824	158	-15	15	2824
159	-17	17	2841	159	-17	17	2841	159	-17	17	2841	159	-17	17	2841	159	-17	17	2841	159	-17	17	2841
160	-17	17	2858	160	-17	17	2858	160	-17	17	2858	160	-17	17	2858	160	-17	17	2858	160	-17	17	2858
161	-15	15	2873	161	-15	15	2873	161	-15	15	2873	161	-15	15	2873	161	-15	15	2873	161	-15	15	2873
162	-15	15	2888	162	-15	15	2888	162	-15	15	2888	162	-15	15	2888	162	-15	15	2888	162	-15	15	2888
163	-15	15	2903	163	-15	15	2903	163	-15	15	2903	163	-15	15	2903	163	-15	15	2903	163	-15	15	2903
164	-16	16	2919	164	-16	16	2919	164	-16	16	2919	164	-16	16	2919	164	-16	16	2919	164	-16	16	2919
165	-15	15	2934	165	-15	15	2934	165	-15	15	2934	165	-15	15	2934	165	-15	15	2934	165	-15	15	2934
166	-15	15	2949	166	-15	15	2949	166	-15	15	2949	166	-15	15	2949	166	-15	15	2949	166	-15	15	2949
167	-15	15	2964	167	-15	15	2964	167	-15	15	2964	167	-15	15	2964	167	-15	15	2964	167	-15	15	2964
168	-23	23	2987	168	-23	23	2987	168	-23	23	2987	168	-23	23	2987	168	-23	23	2987	168	-23	23	2987
169	-18	18	3005	169	-18	18	3005	169	-18	18	3005	169	-18	18	3005	169	-18	18	3005	169	-18	18	3005
170	-117	18	3023	170	-117	18	3023	170	-117	18	3023	170	-117	18	3023	170	-117	18	3023	170	-117	18	3023
171	-21	21	3044	171	-21	21	3044	171	-21	21	3044	171	-21	21	3044	171	-21	21	3044	171	-21	21	3044
172	-15	15	3059	172	-15	15	3059	172	-15	15	3059	172	-15	15	3059	172	-15	15	3059	172	-15	15	3059
173	-116	17	3076	173	-116	17	3076	173	-116	17	3076	173	-116	17	3076	173	-116	17	3076	173	-116	17	3076
174	-15	15	3091	174	-15	15	3091	174	-15	15	3091	174	-15	15	3091	174	-15	15	3091	174	-15	15	3091
175	-17	17	3108	175	-17	17	3108	175	-17	17	3108	175	-17	17	3108	175	-17	17	3108	175	-17	17	3108
176	-15	15	3123	176	-15	15	3123	176	-15	15	3123	176	-15	15	3123	176	-15	15	3123	176	-15	15	3123
177	-18	18	3141	177	-18	18	3141	177	-18	18	3141	177	-18	18	3141	177	-18	18	3141	177	-18	18	3141
178	-15	15	3156	178	-15	15	3156	178	-15	15	3156	178	-15	15	3156	178	-15	15	3156	178	-15	15	3156
179	-18	18	3174	179	-18	18	3174	179	-18	18	3174	179	-18	18	3174	179	-18	18	3174	179	-18	18	3174
180	-15	15	3189	180	-15	15	3189	180	-15	15	3189	180	-15	15	3189	180	-15	15	3189	180	-15	15	3189
181	-17	17	3206	181	-17	17	3206	181	-17	17	3206	181	-17	17	3206	181	-17	17	3206	181	-17	17	3206
182	-15	15	3221	182	-15	15	3221	182	-15	15	3221	182	-15	15	3221	182	-15	15	3221	182	-15	15	3221
183	-16	16	3237	183	-16	16	3237	183	-16	16	3237	183	-16	16	3237	183	-16	16	3237	183	-16	16	3237
184	-15	15	3252	184	-15	15	3252	184	-15	15	3252	184	-15	15	3252	184	-15	15	3252	184	-15	15	3252
185	-17	17	3269	185	-17	17	3269	185	-17	17	3269	185	-17	17	3269	185	-17	17	3269	185	-17	17	3269
186	-23	23	3292	186	-23	23	3292	186	-23	23	3292	186	-23	23	3292	186	-23	23	3292	186	-23	23	3292
187	-15	15	3307	187	-15	15	3307	187	-15	15	3307	187	-15	15	3307	187	-15	15	3307	187	-15	15	3307
188	-15	15	3322	188	-15	15	3322	188	-15	15	3322	188	-15	15	3322	188	-15	15	3322	188	-15	15	3322
189	-19	19	3341	189	-19	19	3341	189	-19	19	3341	189	-19	19	3341	189	-19	19	3341	189	-19	19	3341
190	-115	16	3357	190	-115	16	3357	190	-115	16	3357	190	-115	16	3357	190	-115	16	3357	190	-115	16	3357
191	-17	17	3374	191	-17	17	3374	191	-17	17	3374	191	-17	17	3374	191	-17	17	3374	191	-17	17	3374
192	-15	15	3389	192	-15	15	3389	192	-15	15	3389	192	-15	15	3389	192	-15	15	3389	192	-15	15	3389
193	-17	17	3406	193	-17	17	3406	193	-17	17	3406	193	-17	17	3406	193	-17	17	3406	193	-17	17	3406
194	-20	20	3426	194	-20	20	3426	194	-20	20	3426	194	-20	20	3426	194	-20	20	3426	194	-20	20	3426
195	-15	15	3441	195	-15	15	3441	195	-15	15	3441	195	-15	15	3441	195	-15	15	3441	195	-15	15	3441
196	-121	22	3463	196	-121	22	3463	196	-121	22	3463	196	-121	22	3463	196	-121	22	3463	196	-121	22	3463
197	-19	19	3482	197	-19	19	3482	197	-19	19	3482	197	-19	19	3482	197	-19	19	3482	197	-19	19	3482
198	-22	22	3504	198	-22	22	3504	198	-22	22	3504	198	-22	22	3504	198	-22	22	3504	198	-22	22	3504
199	-15	15	3519	199	-15	15	3519	199	-15	15	3519	199	-15	15	3519	199	-15	15	3519	199	-15	15	3519
