Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535	10	1.0	19	535
11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556	11	1.0	21	556
12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574	12	1.0	18	574
13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592	13	1.0	18	592
14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610	14	1.0	18	610
15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634	15	1.0	24	634
16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656	16	1.0	22	656
17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676	17	1.0	20	676
18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695	18	1.0	19	695
19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715	19	1.0	20	715
20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736	20	1.0	21	736
21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756	21	1.0	20	756
22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778	22	1.0	22	778
23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796	23	1.0	18	796
24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819	24	1.0	23	819
25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837	25	1.0	18	837
26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855	26	1.0	18	855
27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873	27	1.0	18	873
28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895	28	1.0	22	895
29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917	29	1.0	22	917
30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935	30	1.0	18	935
31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956	31	1.0	21	956
32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974	32	1.0	18	974
33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994	33	1.0	20	994
34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012	34	1.0	18	1012
35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031	35	1.0	19	1031
36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053	36	1.0	22	1053
37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075	37	1.0	22	1075
38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097	38	1.0	22	1097
39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115	39	1.0	18	1115
40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134	40	1.0	19	1134
41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151	41	1.0	17	1151
42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173	42	1.0	22	1173
43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192	43	1.0	19	1192
44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210	44	1.0	18	1210
45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230	45	1.0	20	1230
46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248	46	1.0	18	1248
47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269	47	1.0	21	1269
48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287	48	1.0	18	1287
49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309	49	1.0	22	1309
