Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964	10	1.0	23	964
11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980	11	1.0	16	980
12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996	12	1.0	16	996
13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013	13	1.0	17	1013
14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031	14	1.0	18	1031
15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051	15	1.0	20	1051
16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067	16	1.0	16	1067
17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083	17	1.0	16	1083
18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099	18	1.0	16	1099
19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119	19	1.0	20	1119
20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135	20	1.0	16	1135
21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155	21	1.0	20	1155
22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172	22	1.0	17	1172
23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191	23	1.0	19	1191
24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209	24	1.0	18	1209
25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225	25	1.0	16	1225
26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242	26	1.0	17	1242
27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259	27	1.0	17	1259
28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277	28	1.0	18	1277
29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295	29	1.0	18	1295
30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315	30	1.0	20	1315
31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338	31	1.0	23	1338
32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358	32	1.0	20	1358
33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374	33	1.0	16	1374
34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393	34	1.0	19	1393
35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418	35	1.0	25	1418
36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438	36	1.0	20	1438
37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457	37	1.0	19	1457
38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473	38	1.0	16	1473
39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489	39	1.0	16	1489
40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506	40	1.0	17	1506
41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522	41	1.0	16	1522
42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538	42	1.0	16	1538
43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554	43	1.0	16	1554
44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572	44	1.0	18	1572
45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592	45	1.0	20	1592
46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608	46	1.0	16	1608
47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626	47	1.0	18	1626
48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646	48	1.0	20	1646
49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666	49	1.0	20	1666
