Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
97	-134	35	5059	97	-134	35	5059	97	-134	35	5059	97	-134	35	5059	97	-134	35	5059
98	-15	15	5074	98	-15	15	5074	98	-15	15	5074	98	-15	15	5074	98	-15	15	5074
99	-15	15	5089	99	-15	15	5089	99	-15	15	5089	99	-15	15	5089	99	-15	15	5089
100	-21	21	5110	100	-21	21	5110	100	-21	21	5110	100	-21	21	5110	100	-21	21	5110
101	-23	23	5133	101	-23	23	5133	101	-23	23	5133	101	-23	23	5133	101	-23	23	5133
102	-19	19	5152	102	-19	19	5152	102	-19	19	5152	102	-19	19	5152	102	-19	19	5152
103	-25	25	5177	103	-25	25	5177	103	-25	25	5177	103	-25	25	5177	103	-25	25	5177
104	-22	22	5199	104	-22	22	5199	104	-22	22	5199	104	-22	22	5199	104	-22	22	5199
105	-19	19	5218	105	-19	19	5218	105	-19	19	5218	105	-19	19	5218	105	-19	19	5218
106	-244	46	5264	106	-244	46	5264	106	-244	46	5264	106	-244	46	5264	106	-244	46	5264
107	-18	18	5282	107	-18	18	5282	107	-18	18	5282	107	-18	18	5282	107	-18	18	5282
108	-134	35	5317	108	-134	35	5317	108	-134	35	5317	108	-134	35	5317	108	-134	35	5317
109	-35	35	5352	109	-35	35	5352	109	-35	35	5352	109	-35	35	5352	109	-35	35	5352
110	-19	19	5371	110	-19	19	5371	110	-19	19	5371	110	-19	19	5371	110	-19	19	5371
111	-17	17	5388	111	-17	17	5388	111	-17	17	5388	111	-17	17	5388	111	-17	17	5388
112	-17	17	5405	112	-17	17	5405	112	-17	17	5405	112	-17	17	5405	112	-17	17	5405
113	-19	19	5424	113	-19	19	5424	113	-19	19	5424	113	-19	19	5424	113	-19	19	5424
114	-19	19	5443	114	-19	19	5443	114	-19	19	5443	114	-19	19	5443	114	-19	19	5443
115	-17	17	5460	115	-17	17	5460	115	-17	17	5460	115	-17	17	5460	115	-17	17	5460
116	-19	19	5479	116	-19	19	5479	116	-19	19	5479	116	-19	19	5479	116	-19	19	5479
117	-19	19	5498	117	-19	19	5498	117	-19	19	5498	117	-19	19	5498	117	-19	19	5498
118	-17	17	5515	118	-17	17	5515	118	-17	17	5515	118	-17	17	5515	118	-17	17	5515
119	-123	24	5539	119	-123	24	5539	119	-123	24	5539	119	-123	24	5539	119	-123	24	5539
120	-23	23	5562	120	-23	23	5562	120	-23	23	5562	120	-23	23	5562	120	-23	23	5562
121	-23	23	5585	121	-23	23	5585	121	-23	23	5585	121	-23	23	5585	121	-23	23	5585
122	-21	21	5606	122	-21	21	5606	122	-21	21	5606	122	-21	21	5606	122	-21	21	5606
123	-19	19	5625	123	-19	19	5625	123	-19	19	5625	123	-19	19	5625	123	-19	19	5625
124	-18	18	5643	124	-18	18	5643	124	-18	18	5643	124	-18	18	5643	124	-18	18	5643
125	-30	30	5673	125	-30	30	5673	125	-30	30	5673	125	-30	30	5673	125	-30	30	5673
126	-27	27	5700	126	-27	27	5700	126	-27	27	5700	126	-27	27	5700	126	-27	27	5700
127	-17	17	5717	127	-17	17	5717	127	-17	17	5717	127	-17	17	5717	127	-17	17	5717
