Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430	35	-26	26	2430
36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449	36	-19	19	2449
37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478	37	-29	29	2478
38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545	38	-265	67	2545
39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604	39	-158	59	2604
40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628	40	-24	24	2628
41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650	41	-22	22	2650
42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686	42	-36	36	2686
43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712	43	-26	26	2712
44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741	44	-29	29	2741
45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773	45	-32	32	2773
46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792	46	-19	19	2792
47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816	47	-24	24	2816
48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841	48	-25	25	2841
49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868	49	-27	27	2868
