Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
179	-500.0	500	48318	179	-500.0	500	48318	179	-500.0	500	48318	179	-500.0	500	48318	179	-500.0	500	48318
180	-500.0	500	48818	180	-500.0	500	48818	180	-500.0	500	48818	180	-500.0	500	48818	180	-500.0	500	48818
181	-500.0	500	49318	181	-500.0	500	49318	181	-500.0	500	49318	181	-500.0	500	49318	181	-500.0	500	49318
182	-500.0	500	49818	182	-500.0	500	49818	182	-500.0	500	49818	182	-500.0	500	49818	182	-500.0	500	49818
183	-500.0	500	50318	183	-500.0	500	50318	183	-500.0	500	50318	183	-500.0	500	50318	183	-500.0	500	50318
184	-500.0	500	50818	184	-500.0	500	50818	184	-500.0	500	50818	184	-500.0	500	50818	184	-500.0	500	50818
185	-500.0	500	51318	185	-500.0	500	51318	185	-500.0	500	51318	185	-500.0	500	51318	185	-500.0	500	51318
186	-500.0	500	51818	186	-500.0	500	51818	186	-500.0	500	51818	186	-500.0	500	51818	186	-500.0	500	51818
187	-500.0	500	52318	187	-500.0	500	52318	187	-500.0	500	52318	187	-500.0	500	52318	187	-500.0	500	52318
188	-500.0	500	52818	188	-500.0	500	52818	188	-500.0	500	52818	188	-500.0	500	52818	188	-500.0	500	52818
189	-500.0	500	53318	189	-500.0	500	53318	189	-500.0	500	53318	189	-500.0	500	53318	189	-500.0	500	53318
190	-500.0	500	53818	190	-500.0	500	53818	190	-500.0	500	53818	190	-500.0	500	53818	190	-500.0	500	53818
191	-500.0	500	54318	191	-500.0	500	54318	191	-500.0	500	54318	191	-500.0	500	54318	191	-500.0	500	54318
192	-500.0	500	54818	192	-500.0	500	54818	192	-500.0	500	54818	192	-500.0	500	54818	192	-500.0	500	54818
193	-500.0	500	55318	193	-500.0	500	55318	193	-500.0	500	55318	193	-500.0	500	55318	193	-500.0	500	55318
