Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829	10	1.0	135	3829
11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867	11	1.0	38	3867
12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905	12	1.0	38	3905
13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006	13	1.0	101	4006
14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118	14	1.0	112	4118
15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179	15	1.0	61	4179
16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199	16	1.0	20	4199
17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378	17	1.0	179	4378
18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482	18	1.0	104	4482
19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660	19	1.0	178	4660
20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690	20	1.0	30	4690
21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725	21	1.0	35	4725
22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792	22	1.0	67	4792
23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929	23	1.0	137	4929
24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959	24	1.0	30	4959
25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029	25	1.0	70	5029
26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083	26	1.0	54	5083
27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217	27	1.0	134	5217
28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238	28	1.0	21	5238
29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328	29	1.0	90	5328
30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357	30	1.0	29	5357
31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378	31	1.0	21	5378
32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419	32	1.0	41	5419
33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440	33	1.0	21	5440
34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468	34	1.0	28	5468
35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491	35	1.0	23	5491
36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519	36	1.0	28	5519
37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536	37	1.0	17	5536
38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562	38	1.0	26	5562
39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579	39	1.0	17	5579
40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598	40	1.0	19	5598
41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614	41	1.0	16	5614
42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632	42	1.0	18	5632
43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649	43	1.0	17	5649
44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665	44	1.0	16	5665
45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686	45	1.0	21	5686
46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706	46	1.0	20	5706
47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729	47	1.0	23	5729
48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754	48	1.0	25	5754
49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770	49	1.0	16	5770
