Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159	34	-15	15	1159
35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175	35	-16	16	1175
36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194	36	-118	19	1194
37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207	37	-13	13	1207
38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222	38	-15	15	1222
39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237	39	-15	15	1237
40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252	40	-15	15	1252
41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265	41	-13	13	1265
42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285	42	-119	20	1285
43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300	43	-15	15	1300
44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313	44	-13	13	1313
45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332	45	-217	19	1332
46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345	46	-13	13	1345
47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358	47	-13	13	1358
48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371	48	-13	13	1371
49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386	49	-15	15	1386
