Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485	34	1.0	16	3485
35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501	35	1.0	16	3501
36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527	36	1.0	26	3527
37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545	37	1.0	18	3545
38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559	38	1.0	14	3559
39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577	39	1.0	18	3577
40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593	40	1.0	16	3593
41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607	41	1.0	14	3607
42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654	42	1.0	47	3654
43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670	43	1.0	16	3670
44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685	44	1.0	15	3685
45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700	45	1.0	15	3700
46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714	46	1.0	14	3714
47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728	47	1.0	14	3728
48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757	48	1.0	29	3757
49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771	49	1.0	14	3771
