Episode	Accumulated Reward	Length	Steps
536	-2	4	2541
537	-2	4	2545
538	-2	4	2549
539	-2	4	2553
540	-2	4	2557
541	-2	4	2561
542	-2	4	2565
543	-2	4	2569
544	-2	4	2573
545	-2	4	2577
546	-4	6	2583
547	-2	4	2587
548	-2	4	2591
549	-2	4	2595
550	-2	4	2599
551	-2	4	2603
552	-2	4	2607
553	-2	4	2611
554	-2	4	2615
555	-2	4	2619
556	-2	4	2623
557	-2	4	2627
558	-2	4	2631
559	-2	4	2635
560	-2	4	2639
561	-4	6	2645
562	-2	4	2649
563	-2	4	2653
564	-2	4	2657
565	-2	4	2661
566	-2	4	2665
567	-2	4	2669
568	-2	4	2673
569	-2	4	2677
570	-2	4	2681
571	-2	4	2685
572	-2	4	2689
573	-2	4	2693
574	-2	4	2697
575	-2	4	2701
576	-2	4	2705
577	-2	4	2709
578	-2	4	2713
579	-2	4	2717
580	-2	4	2721
581	-2	4	2725
582	-2	4	2729
583	-2	4	2733
584	-2	4	2737
585	-2	4	2741
586	-2	4	2745
587	-2	4	2749
588	-2	4	2753
589	-2	4	2757
590	-2	4	2761
591	-2	4	2765
592	-2	4	2769
593	-2	4	2773
594	-2	4	2777
595	-2	4	2781
596	-6	8	2789
597	-2	4	2793
598	-2	4	2797
599	-2	4	2801
600	-2	4	2805
601	-2	4	2809
602	-2	4	2813
603	-2	4	2817
604	-2	4	2821
605	-2	4	2825
606	-2	4	2829
607	-2	4	2833
608	-2	4	2837
609	-2	4	2841
610	-2	4	2845
611	-2	4	2849
612	-2	4	2853
613	-2	4	2857
614	-2	4	2861
615	-2	4	2865
616	-2	4	2869
617	-2	4	2873
618	-2	4	2877
619	-2	4	2881
620	-2	4	2885
621	-2	4	2889
622	-2	4	2893
623	-2	4	2897
624	-2	4	2901
625	-2	4	2905
626	-2	4	2909
627	-2	4	2913
628	-2	4	2917
629	-2	4	2921
630	-2	4	2925
631	-2	4	2929
632	-2	4	2933
633	-4	6	2939
634	-2	4	2943
635	-2	4	2947
636	-5	7	2954
637	-2	4	2958
638	-2	4	2962
639	-2	4	2966
640	-4	6	2972
641	-2	4	2976
642	-2	4	2980
643	-2	4	2984
644	-2	4	2988
645	-2	4	2992
646	-2	4	2996
647	-2	4	3000
648	-2	4	3004
649	-2	4	3008
650	-2	4	3012
651	-2	4	3016
652	-2	4	3020
653	-2	4	3024
