Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
148	-17	17	6143	148	-17	17	6143	148	-17	17	6143	148	-17	17	6143	148	-17	17	6143	148	-17	17	6143	148	-17	17	6143
149	-20	20	6163	149	-20	20	6163	149	-20	20	6163	149	-20	20	6163	149	-20	20	6163	149	-20	20	6163	149	-20	20	6163
150	-26	26	6189	150	-26	26	6189	150	-26	26	6189	150	-26	26	6189	150	-26	26	6189	150	-26	26	6189	150	-26	26	6189
151	-20	20	6209	151	-20	20	6209	151	-20	20	6209	151	-20	20	6209	151	-20	20	6209	151	-20	20	6209	151	-20	20	6209
152	-19	19	6228	152	-19	19	6228	152	-19	19	6228	152	-19	19	6228	152	-19	19	6228	152	-19	19	6228	152	-19	19	6228
153	-17	17	6245	153	-17	17	6245	153	-17	17	6245	153	-17	17	6245	153	-17	17	6245	153	-17	17	6245	153	-17	17	6245
154	-18	18	6263	154	-18	18	6263	154	-18	18	6263	154	-18	18	6263	154	-18	18	6263	154	-18	18	6263	154	-18	18	6263
155	-24	24	6287	155	-24	24	6287	155	-24	24	6287	155	-24	24	6287	155	-24	24	6287	155	-24	24	6287	155	-24	24	6287
156	-20	20	6307	156	-20	20	6307	156	-20	20	6307	156	-20	20	6307	156	-20	20	6307	156	-20	20	6307	156	-20	20	6307
157	-22	22	6329	157	-22	22	6329	157	-22	22	6329	157	-22	22	6329	157	-22	22	6329	157	-22	22	6329	157	-22	22	6329
158	-21	21	6350	158	-21	21	6350	158	-21	21	6350	158	-21	21	6350	158	-21	21	6350	158	-21	21	6350	158	-21	21	6350
159	-20	20	6370	159	-20	20	6370	159	-20	20	6370	159	-20	20	6370	159	-20	20	6370	159	-20	20	6370	159	-20	20	6370
160	-20	20	6390	160	-20	20	6390	160	-20	20	6390	160	-20	20	6390	160	-20	20	6390	160	-20	20	6390	160	-20	20	6390
161	-24	24	6414	161	-24	24	6414	161	-24	24	6414	161	-24	24	6414	161	-24	24	6414	161	-24	24	6414	161	-24	24	6414
162	-24	24	6438	162	-24	24	6438	162	-24	24	6438	162	-24	24	6438	162	-24	24	6438	162	-24	24	6438	162	-24	24	6438
163	-18	18	6456	163	-18	18	6456	163	-18	18	6456	163	-18	18	6456	163	-18	18	6456	163	-18	18	6456	163	-18	18	6456
164	-23	23	6479	164	-23	23	6479	164	-23	23	6479	164	-23	23	6479	164	-23	23	6479	164	-23	23	6479	164	-23	23	6479
