Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211	21	1.0	325	5211
22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243	22	1.0	32	5243
23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333	23	1.0	90	5333
24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398	24	1.0	65	5398
25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453	25	1.0	55	5453
26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488	26	1.0	35	5488
27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541	27	1.0	53	5541
28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595	28	1.0	54	5595
29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624	29	1.0	29	5624
30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653	30	1.0	29	5653
31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669	31	1.0	16	5669
32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695	32	1.0	26	5695
33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728	33	1.0	33	5728
34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750	34	1.0	22	5750
35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771	35	1.0	21	5771
36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793	36	1.0	22	5793
37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811	37	1.0	18	5811
38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834	38	1.0	23	5834
39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858	39	1.0	24	5858
40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885	40	1.0	27	5885
41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901	41	1.0	16	5901
42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922	42	1.0	21	5922
43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942	43	1.0	20	5942
44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962	44	1.0	20	5962
45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979	45	1.0	17	5979
46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997	46	1.0	18	5997
47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013	47	1.0	16	6013
48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031	48	1.0	18	6031
49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053	49	1.0	22	6053
