Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353	34	-133	34	2353
35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374	35	-21	21	2374
36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403	36	-29	29	2403
37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432	37	-29	29	2432
38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455	38	-23	23	2455
39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483	39	-28	28	2483
40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516	40	-33	33	2516
41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545	41	-29	29	2545
42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571	42	-26	26	2571
43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611	43	-139	40	2611
44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634	44	-23	23	2634
45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651	45	-17	17	2651
46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679	46	-28	28	2679
47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698	47	-19	19	2698
48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719	48	-21	21	2719
49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757	49	-38	38	2757
