Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819	46	-73	73	4819
47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879	47	-60	60	4879
48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911	48	-32	32	4911
49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996	49	-85	85	4996
50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063	50	-67	67	5063
51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127	51	-64	64	5127
52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176	52	-49	49	5176
53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273	53	-196	97	5273
54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322	54	-49	49	5322
55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406	55	-183	84	5406
56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486	56	-80	80	5486
57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556	57	-70	70	5556
58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599	58	-43	43	5599
59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643	59	-44	44	5643
60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690	60	-47	47	5690
61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784	61	-94	94	5784
62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883	62	-99	99	5883
63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931	63	-48	48	5931
64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975	64	-44	44	5975
65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013	65	-38	38	6013
66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055	66	-42	42	6055
67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115	67	-60	60	6115
68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158	68	-142	43	6158
69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187	69	-29	29	6187
70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280	70	-192	93	6280
71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331	71	-51	51	6331
72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365	72	-34	34	6365
73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418	73	-53	53	6418
74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474	74	-56	56	6474
75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511	75	-37	37	6511
76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589	76	-78	78	6589
77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616	77	-27	27	6616
78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658	78	-42	42	6658
79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698	79	-40	40	6698
80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727	80	-29	29	6727
81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761	81	-34	34	6761
82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793	82	-32	32	6793
83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858	83	-164	65	6858
84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908	84	-50	50	6908
85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952	85	-44	44	6952
86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996	86	-44	44	6996
87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031	87	-35	35	7031
88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068	88	-37	37	7068
89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096	89	-28	28	7096
90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123	90	-27	27	7123
91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161	91	-38	38	7161
92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200	92	-39	39	7200
93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247	93	-146	47	7247
94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306	94	-158	59	7306
95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347	95	-41	41	7347
96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371	96	-24	24	7371
97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407	97	-36	36	7407
98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450	98	-142	43	7450
99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482	99	-131	32	7482
100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514	100	-32	32	7514
101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543	101	-29	29	7543
102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578	102	-35	35	7578
103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609	103	-31	31	7609
104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637	104	-28	28	7637
105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667	105	-30	30	7667
106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710	106	-142	43	7710
107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728	107	-18	18	7728
108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759	108	-31	31	7759
109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788	109	-29	29	7788
