Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
43	-86	86	5620	43	-86	86	5620	43	-86	86	5620	43	-86	86	5620	43	-86	86	5620	43	-86	86	5620	43	-86	86	5620	43	-86	86	5620	43	-86	86	5620	43	-86	86	5620
44	-272	74	5694	44	-272	74	5694	44	-272	74	5694	44	-272	74	5694	44	-272	74	5694	44	-272	74	5694	44	-272	74	5694	44	-272	74	5694	44	-272	74	5694	44	-272	74	5694
45	-339	141	5835	45	-339	141	5835	45	-339	141	5835	45	-339	141	5835	45	-339	141	5835	45	-339	141	5835	45	-339	141	5835	45	-339	141	5835	45	-339	141	5835	45	-339	141	5835
46	-344	146	5981	46	-344	146	5981	46	-344	146	5981	46	-344	146	5981	46	-344	146	5981	46	-344	146	5981	46	-344	146	5981	46	-344	146	5981	46	-344	146	5981	46	-344	146	5981
47	-165	66	6047	47	-165	66	6047	47	-165	66	6047	47	-165	66	6047	47	-165	66	6047	47	-165	66	6047	47	-165	66	6047	47	-165	66	6047	47	-165	66	6047	47	-165	66	6047
48	-46	46	6093	48	-46	46	6093	48	-46	46	6093	48	-46	46	6093	48	-46	46	6093	48	-46	46	6093	48	-46	46	6093	48	-46	46	6093	48	-46	46	6093	48	-46	46	6093
49	-66	66	6159	49	-66	66	6159	49	-66	66	6159	49	-66	66	6159	49	-66	66	6159	49	-66	66	6159	49	-66	66	6159	49	-66	66	6159	49	-66	66	6159	49	-66	66	6159
50	-29	29	6188	50	-29	29	6188	50	-29	29	6188	50	-29	29	6188	50	-29	29	6188	50	-29	29	6188	50	-29	29	6188	50	-29	29	6188	50	-29	29	6188	50	-29	29	6188
51	-299	101	6289	51	-299	101	6289	51	-299	101	6289	51	-299	101	6289	51	-299	101	6289	51	-299	101	6289	51	-299	101	6289	51	-299	101	6289	51	-299	101	6289	51	-299	101	6289
52	-40	40	6329	52	-40	40	6329	52	-40	40	6329	52	-40	40	6329	52	-40	40	6329	52	-40	40	6329	52	-40	40	6329	52	-40	40	6329	52	-40	40	6329	52	-40	40	6329
53	-47	47	6376	53	-47	47	6376	53	-47	47	6376	53	-47	47	6376	53	-47	47	6376	53	-47	47	6376	53	-47	47	6376	53	-47	47	6376	53	-47	47	6376	53	-47	47	6376
54	-189	90	6466	54	-189	90	6466	54	-189	90	6466	54	-189	90	6466	54	-189	90	6466	54	-189	90	6466	54	-189	90	6466	54	-189	90	6466	54	-189	90	6466	54	-189	90	6466
55	-27	27	6493	55	-27	27	6493	55	-27	27	6493	55	-27	27	6493	55	-27	27	6493	55	-27	27	6493	55	-27	27	6493	55	-27	27	6493	55	-27	27	6493	55	-27	27	6493
56	-156	57	6550	56	-156	57	6550	56	-156	57	6550	56	-156	57	6550	56	-156	57	6550	56	-156	57	6550	56	-156	57	6550	56	-156	57	6550	56	-156	57	6550	56	-156	57	6550
57	-38	38	6588	57	-38	38	6588	57	-38	38	6588	57	-38	38	6588	57	-38	38	6588	57	-38	38	6588	57	-38	38	6588	57	-38	38	6588	57	-38	38	6588	57	-38	38	6588
58	-61	61	6649	58	-61	61	6649	58	-61	61	6649	58	-61	61	6649	58	-61	61	6649	58	-61	61	6649	58	-61	61	6649	58	-61	61	6649	58	-61	61	6649	58	-61	61	6649
59	-121	22	6671	59	-121	22	6671	59	-121	22	6671	59	-121	22	6671	59	-121	22	6671	59	-121	22	6671	59	-121	22	6671	59	-121	22	6671	59	-121	22	6671	59	-121	22	6671
60	-43	43	6714	60	-43	43	6714	60	-43	43	6714	60	-43	43	6714	60	-43	43	6714	60	-43	43	6714	60	-43	43	6714	60	-43	43	6714	60	-43	43	6714	60	-43	43	6714
61	-23	23	6737	61	-23	23	6737	61	-23	23	6737	61	-23	23	6737	61	-23	23	6737	61	-23	23	6737	61	-23	23	6737	61	-23	23	6737	61	-23	23	6737	61	-23	23	6737
62	-199	100	6837	62	-199	100	6837	62	-199	100	6837	62	-199	100	6837	62	-199	100	6837	62	-199	100	6837	62	-199	100	6837	62	-199	100	6837	62	-199	100	6837	62	-199	100	6837
63	-41	41	6878	63	-41	41	6878	63	-41	41	6878	63	-41	41	6878	63	-41	41	6878	63	-41	41	6878	63	-41	41	6878	63	-41	41	6878	63	-41	41	6878	63	-41	41	6878
64	-53	53	6931	64	-53	53	6931	64	-53	53	6931	64	-53	53	6931	64	-53	53	6931	64	-53	53	6931	64	-53	53	6931	64	-53	53	6931	64	-53	53	6931	64	-53	53	6931
65	-26	26	6957	65	-26	26	6957	65	-26	26	6957	65	-26	26	6957	65	-26	26	6957	65	-26	26	6957	65	-26	26	6957	65	-26	26	6957	65	-26	26	6957	65	-26	26	6957
66	-51	51	7008	66	-51	51	7008	66	-51	51	7008	66	-51	51	7008	66	-51	51	7008	66	-51	51	7008	66	-51	51	7008	66	-51	51	7008	66	-51	51	7008	66	-51	51	7008
67	-37	37	7045	67	-37	37	7045	67	-37	37	7045	67	-37	37	7045	67	-37	37	7045	67	-37	37	7045	67	-37	37	7045	67	-37	37	7045	67	-37	37	7045	67	-37	37	7045
68	-32	32	7077	68	-32	32	7077	68	-32	32	7077	68	-32	32	7077	68	-32	32	7077	68	-32	32	7077	68	-32	32	7077	68	-32	32	7077	68	-32	32	7077	68	-32	32	7077
69	-35	35	7112	69	-35	35	7112	69	-35	35	7112	69	-35	35	7112	69	-35	35	7112	69	-35	35	7112	69	-35	35	7112	69	-35	35	7112	69	-35	35	7112	69	-35	35	7112
70	-58	58	7170	70	-58	58	7170	70	-58	58	7170	70	-58	58	7170	70	-58	58	7170	70	-58	58	7170	70	-58	58	7170	70	-58	58	7170	70	-58	58	7170	70	-58	58	7170
71	-60	60	7230	71	-60	60	7230	71	-60	60	7230	71	-60	60	7230	71	-60	60	7230	71	-60	60	7230	71	-60	60	7230	71	-60	60	7230	71	-60	60	7230	71	-60	60	7230
72	-74	74	7304	72	-74	74	7304	72	-74	74	7304	72	-74	74	7304	72	-74	74	7304	72	-74	74	7304	72	-74	74	7304	72	-74	74	7304	72	-74	74	7304	72	-74	74	7304
73	-33	33	7337	73	-33	33	7337	73	-33	33	7337	73	-33	33	7337	73	-33	33	7337	73	-33	33	7337	73	-33	33	7337	73	-33	33	7337	73	-33	33	7337	73	-33	33	7337
74	-189	90	7427	74	-189	90	7427	74	-189	90	7427	74	-189	90	7427	74	-189	90	7427	74	-189	90	7427	74	-189	90	7427	74	-189	90	7427	74	-189	90	7427	74	-189	90	7427
75	-58	58	7485	75	-58	58	7485	75	-58	58	7485	75	-58	58	7485	75	-58	58	7485	75	-58	58	7485	75	-58	58	7485	75	-58	58	7485	75	-58	58	7485	75	-58	58	7485
76	-25	25	7510	76	-25	25	7510	76	-25	25	7510	76	-25	25	7510	76	-25	25	7510	76	-25	25	7510	76	-25	25	7510	76	-25	25	7510	76	-25	25	7510	76	-25	25	7510
77	-34	34	7544	77	-34	34	7544	77	-34	34	7544	77	-34	34	7544	77	-34	34	7544	77	-34	34	7544	77	-34	34	7544	77	-34	34	7544	77	-34	34	7544	77	-34	34	7544
78	-141	42	7586	78	-141	42	7586	78	-141	42	7586	78	-141	42	7586	78	-141	42	7586	78	-141	42	7586	78	-141	42	7586	78	-141	42	7586	78	-141	42	7586	78	-141	42	7586
79	-61	61	7647	79	-61	61	7647	79	-61	61	7647	79	-61	61	7647	79	-61	61	7647	79	-61	61	7647	79	-61	61	7647	79	-61	61	7647	79	-61	61	7647	79	-61	61	7647
80	-53	53	7700	80	-53	53	7700	80	-53	53	7700	80	-53	53	7700	80	-53	53	7700	80	-53	53	7700	80	-53	53	7700	80	-53	53	7700	80	-53	53	7700	80	-53	53	7700
81	-29	29	7729	81	-29	29	7729	81	-29	29	7729	81	-29	29	7729	81	-29	29	7729	81	-29	29	7729	81	-29	29	7729	81	-29	29	7729	81	-29	29	7729	81	-29	29	7729
82	-44	44	7773	82	-44	44	7773	82	-44	44	7773	82	-44	44	7773	82	-44	44	7773	82	-44	44	7773	82	-44	44	7773	82	-44	44	7773	82	-44	44	7773	82	-44	44	7773
83	-77	77	7850	83	-77	77	7850	83	-77	77	7850	83	-77	77	7850	83	-77	77	7850	83	-77	77	7850	83	-77	77	7850	83	-77	77	7850	83	-77	77	7850	83	-77	77	7850
84	-22	22	7872	84	-22	22	7872	84	-22	22	7872	84	-22	22	7872	84	-22	22	7872	84	-22	22	7872	84	-22	22	7872	84	-22	22	7872	84	-22	22	7872	84	-22	22	7872
85	-36	36	7908	85	-36	36	7908	85	-36	36	7908	85	-36	36	7908	85	-36	36	7908	85	-36	36	7908	85	-36	36	7908	85	-36	36	7908	85	-36	36	7908	85	-36	36	7908
86	-68	68	7976	86	-68	68	7976	86	-68	68	7976	86	-68	68	7976	86	-68	68	7976	86	-68	68	7976	86	-68	68	7976	86	-68	68	7976	86	-68	68	7976	86	-68	68	7976
87	-41	41	8017	87	-41	41	8017	87	-41	41	8017	87	-41	41	8017	87	-41	41	8017	87	-41	41	8017	87	-41	41	8017	87	-41	41	8017	87	-41	41	8017	87	-41	41	8017
88	-43	43	8060	88	-43	43	8060	88	-43	43	8060	88	-43	43	8060	88	-43	43	8060	88	-43	43	8060	88	-43	43	8060	88	-43	43	8060	88	-43	43	8060	88	-43	43	8060
89	-55	55	8115	89	-55	55	8115	89	-55	55	8115	89	-55	55	8115	89	-55	55	8115	89	-55	55	8115	89	-55	55	8115	89	-55	55	8115	89	-55	55	8115	89	-55	55	8115
90	-23	23	8138	90	-23	23	8138	90	-23	23	8138	90	-23	23	8138	90	-23	23	8138	90	-23	23	8138	90	-23	23	8138	90	-23	23	8138	90	-23	23	8138	90	-23	23	8138
91	-25	25	8163	91	-25	25	8163	91	-25	25	8163	91	-25	25	8163	91	-25	25	8163	91	-25	25	8163	91	-25	25	8163	91	-25	25	8163	91	-25	25	8163	91	-25	25	8163
