Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295	39	-13	13	1295
40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308	40	-13	13	1308
41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325	41	-17	17	1325
42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340	42	-15	15	1340
43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353	43	-13	13	1353
44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366	44	-13	13	1366
45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379	45	-13	13	1379
46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396	46	-17	17	1396
47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417	47	-21	21	1417
48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436	48	-118	19	1436
49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455	49	-19	19	1455
