Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
66	-17	17	1121	66	-17	17	1121	66	-17	17	1121	66	-17	17	1121	66	-17	17	1121	66	-17	17	1121	66	-17	17	1121
67	-17	17	1138	67	-17	17	1138	67	-17	17	1138	67	-17	17	1138	67	-17	17	1138	67	-17	17	1138	67	-17	17	1138
68	-17	17	1155	68	-17	17	1155	68	-17	17	1155	68	-17	17	1155	68	-17	17	1155	68	-17	17	1155	68	-17	17	1155
69	-17	17	1172	69	-17	17	1172	69	-17	17	1172	69	-17	17	1172	69	-17	17	1172	69	-17	17	1172	69	-17	17	1172
70	-21	21	1193	70	-21	21	1193	70	-21	21	1193	70	-21	21	1193	70	-21	21	1193	70	-21	21	1193	70	-21	21	1193
71	-28	28	1221	71	-28	28	1221	71	-28	28	1221	71	-28	28	1221	71	-28	28	1221	71	-28	28	1221	71	-28	28	1221
72	-115	16	1237	72	-115	16	1237	72	-115	16	1237	72	-115	16	1237	72	-115	16	1237	72	-115	16	1237	72	-115	16	1237
73	-17	17	1254	73	-17	17	1254	73	-17	17	1254	73	-17	17	1254	73	-17	17	1254	73	-17	17	1254	73	-17	17	1254
74	-15	15	1269	74	-15	15	1269	74	-15	15	1269	74	-15	15	1269	74	-15	15	1269	74	-15	15	1269	74	-15	15	1269
75	-19	19	1288	75	-19	19	1288	75	-19	19	1288	75	-19	19	1288	75	-19	19	1288	75	-19	19	1288	75	-19	19	1288
76	-17	17	1305	76	-17	17	1305	76	-17	17	1305	76	-17	17	1305	76	-17	17	1305	76	-17	17	1305	76	-17	17	1305
77	-15	15	1320	77	-15	15	1320	77	-15	15	1320	77	-15	15	1320	77	-15	15	1320	77	-15	15	1320	77	-15	15	1320
78	-15	15	1335	78	-15	15	1335	78	-15	15	1335	78	-15	15	1335	78	-15	15	1335	78	-15	15	1335	78	-15	15	1335
79	-15	15	1350	79	-15	15	1350	79	-15	15	1350	79	-15	15	1350	79	-15	15	1350	79	-15	15	1350	79	-15	15	1350
80	-15	15	1365	80	-15	15	1365	80	-15	15	1365	80	-15	15	1365	80	-15	15	1365	80	-15	15	1365	80	-15	15	1365
81	-15	15	1380	81	-15	15	1380	81	-15	15	1380	81	-15	15	1380	81	-15	15	1380	81	-15	15	1380	81	-15	15	1380
82	-17	17	1397	82	-17	17	1397	82	-17	17	1397	82	-17	17	1397	82	-17	17	1397	82	-17	17	1397	82	-17	17	1397
83	-15	15	1412	83	-15	15	1412	83	-15	15	1412	83	-15	15	1412	83	-15	15	1412	83	-15	15	1412	83	-15	15	1412
84	-17	17	1429	84	-17	17	1429	84	-17	17	1429	84	-17	17	1429	84	-17	17	1429	84	-17	17	1429	84	-17	17	1429
85	-15	15	1444	85	-15	15	1444	85	-15	15	1444	85	-15	15	1444	85	-15	15	1444	85	-15	15	1444	85	-15	15	1444
86	-23	23	1467	86	-23	23	1467	86	-23	23	1467	86	-23	23	1467	86	-23	23	1467	86	-23	23	1467	86	-23	23	1467
87	-17	17	1484	87	-17	17	1484	87	-17	17	1484	87	-17	17	1484	87	-17	17	1484	87	-17	17	1484	87	-17	17	1484
88	-17	17	1501	88	-17	17	1501	88	-17	17	1501	88	-17	17	1501	88	-17	17	1501	88	-17	17	1501	88	-17	17	1501
89	-15	15	1516	89	-15	15	1516	89	-15	15	1516	89	-15	15	1516	89	-15	15	1516	89	-15	15	1516	89	-15	15	1516
90	-17	17	1533	90	-17	17	1533	90	-17	17	1533	90	-17	17	1533	90	-17	17	1533	90	-17	17	1533	90	-17	17	1533
91	-21	21	1554	91	-21	21	1554	91	-21	21	1554	91	-21	21	1554	91	-21	21	1554	91	-21	21	1554	91	-21	21	1554
92	-15	15	1569	92	-15	15	1569	92	-15	15	1569	92	-15	15	1569	92	-15	15	1569	92	-15	15	1569	92	-15	15	1569
93	-17	17	1586	93	-17	17	1586	93	-17	17	1586	93	-17	17	1586	93	-17	17	1586	93	-17	17	1586	93	-17	17	1586
94	-23	23	1609	94	-23	23	1609	94	-23	23	1609	94	-23	23	1609	94	-23	23	1609	94	-23	23	1609	94	-23	23	1609
95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626
96	-19	19	1645	96	-19	19	1645	96	-19	19	1645	96	-19	19	1645	96	-19	19	1645	96	-19	19	1645	96	-19	19	1645
97	-15	15	1660	97	-15	15	1660	97	-15	15	1660	97	-15	15	1660	97	-15	15	1660	97	-15	15	1660	97	-15	15	1660
98	-17	17	1677	98	-17	17	1677	98	-17	17	1677	98	-17	17	1677	98	-17	17	1677	98	-17	17	1677	98	-17	17	1677
99	-15	15	1692	99	-15	15	1692	99	-15	15	1692	99	-15	15	1692	99	-15	15	1692	99	-15	15	1692	99	-15	15	1692
100	-15	15	1707	100	-15	15	1707	100	-15	15	1707	100	-15	15	1707	100	-15	15	1707	100	-15	15	1707	100	-15	15	1707
101	-26	26	1733	101	-26	26	1733	101	-26	26	1733	101	-26	26	1733	101	-26	26	1733	101	-26	26	1733	101	-26	26	1733
102	-17	17	1750	102	-17	17	1750	102	-17	17	1750	102	-17	17	1750	102	-17	17	1750	102	-17	17	1750	102	-17	17	1750
103	-17	17	1767	103	-17	17	1767	103	-17	17	1767	103	-17	17	1767	103	-17	17	1767	103	-17	17	1767	103	-17	17	1767
104	-15	15	1782	104	-15	15	1782	104	-15	15	1782	104	-15	15	1782	104	-15	15	1782	104	-15	15	1782	104	-15	15	1782
105	-17	17	1799	105	-17	17	1799	105	-17	17	1799	105	-17	17	1799	105	-17	17	1799	105	-17	17	1799	105	-17	17	1799
