Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
64	-17	17	1111	64	-17	17	1111	64	-17	17	1111	64	-17	17	1111	64	-17	17	1111	64	-17	17	1111	64	-17	17	1111	64	-17	17	1111	64	-17	17	1111	64	-17	17	1111
65	-15	15	1126	65	-15	15	1126	65	-15	15	1126	65	-15	15	1126	65	-15	15	1126	65	-15	15	1126	65	-15	15	1126	65	-15	15	1126	65	-15	15	1126	65	-15	15	1126
66	-15	15	1141	66	-15	15	1141	66	-15	15	1141	66	-15	15	1141	66	-15	15	1141	66	-15	15	1141	66	-15	15	1141	66	-15	15	1141	66	-15	15	1141	66	-15	15	1141
67	-17	17	1158	67	-17	17	1158	67	-17	17	1158	67	-17	17	1158	67	-17	17	1158	67	-17	17	1158	67	-17	17	1158	67	-17	17	1158	67	-17	17	1158	67	-17	17	1158
68	-17	17	1175	68	-17	17	1175	68	-17	17	1175	68	-17	17	1175	68	-17	17	1175	68	-17	17	1175	68	-17	17	1175	68	-17	17	1175	68	-17	17	1175	68	-17	17	1175
69	-18	18	1193	69	-18	18	1193	69	-18	18	1193	69	-18	18	1193	69	-18	18	1193	69	-18	18	1193	69	-18	18	1193	69	-18	18	1193	69	-18	18	1193	69	-18	18	1193
70	-19	19	1212	70	-19	19	1212	70	-19	19	1212	70	-19	19	1212	70	-19	19	1212	70	-19	19	1212	70	-19	19	1212	70	-19	19	1212	70	-19	19	1212	70	-19	19	1212
71	-115	16	1228	71	-115	16	1228	71	-115	16	1228	71	-115	16	1228	71	-115	16	1228	71	-115	16	1228	71	-115	16	1228	71	-115	16	1228	71	-115	16	1228	71	-115	16	1228
72	-15	15	1243	72	-15	15	1243	72	-15	15	1243	72	-15	15	1243	72	-15	15	1243	72	-15	15	1243	72	-15	15	1243	72	-15	15	1243	72	-15	15	1243	72	-15	15	1243
73	-17	17	1260	73	-17	17	1260	73	-17	17	1260	73	-17	17	1260	73	-17	17	1260	73	-17	17	1260	73	-17	17	1260	73	-17	17	1260	73	-17	17	1260	73	-17	17	1260
