Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438	10	1.0	21	438
11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458	11	1.0	20	458
12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474	12	1.0	16	474
13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490	13	1.0	16	490
14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511	14	1.0	21	511
15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527	15	1.0	16	527
16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543	16	1.0	16	543
17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560	17	1.0	17	560
18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581	18	1.0	21	581
19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615	19	1.0	34	615
20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634	20	1.0	19	634
21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651	21	1.0	17	651
22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669	22	1.0	18	669
23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686
24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702	24	1.0	16	702
25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718	25	1.0	16	718
26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736	26	1.0	18	736
27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754	27	1.0	18	754
28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770	28	1.0	16	770
29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786	29	1.0	16	786
30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802	30	1.0	16	802
31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822	31	1.0	20	822
32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850	32	1.0	28	850
33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866	33	1.0	16	866
34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882	34	1.0	16	882
35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901	35	1.0	19	901
36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923	36	1.0	22	923
37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944	37	1.0	21	944
38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960	38	1.0	16	960
39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977	39	1.0	17	977
40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993	40	1.0	16	993
41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016	41	1.0	23	1016
42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033	42	1.0	17	1033
43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053	43	1.0	20	1053
44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069	44	1.0	16	1069
45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085	45	1.0	16	1085
46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105	46	1.0	20	1105
47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123	47	1.0	18	1123
48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143	48	1.0	20	1143
49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160	49	1.0	17	1160
