Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
61	-22	22	1099	61	-22	22	1099	61	-22	22	1099	61	-22	22	1099	61	-22	22	1099	61	-22	22	1099	61	-22	22	1099	61	-22	22	1099	61	-22	22	1099
62	-21	21	1120	62	-21	21	1120	62	-21	21	1120	62	-21	21	1120	62	-21	21	1120	62	-21	21	1120	62	-21	21	1120	62	-21	21	1120	62	-21	21	1120
63	-15	15	1135	63	-15	15	1135	63	-15	15	1135	63	-15	15	1135	63	-15	15	1135	63	-15	15	1135	63	-15	15	1135	63	-15	15	1135	63	-15	15	1135
64	-20	20	1155	64	-20	20	1155	64	-20	20	1155	64	-20	20	1155	64	-20	20	1155	64	-20	20	1155	64	-20	20	1155	64	-20	20	1155	64	-20	20	1155
65	-17	17	1172	65	-17	17	1172	65	-17	17	1172	65	-17	17	1172	65	-17	17	1172	65	-17	17	1172	65	-17	17	1172	65	-17	17	1172	65	-17	17	1172
66	-117	18	1190	66	-117	18	1190	66	-117	18	1190	66	-117	18	1190	66	-117	18	1190	66	-117	18	1190	66	-117	18	1190	66	-117	18	1190	66	-117	18	1190
67	-15	15	1205	67	-15	15	1205	67	-15	15	1205	67	-15	15	1205	67	-15	15	1205	67	-15	15	1205	67	-15	15	1205	67	-15	15	1205	67	-15	15	1205
68	-17	17	1222	68	-17	17	1222	68	-17	17	1222	68	-17	17	1222	68	-17	17	1222	68	-17	17	1222	68	-17	17	1222	68	-17	17	1222	68	-17	17	1222
69	-15	15	1237	69	-15	15	1237	69	-15	15	1237	69	-15	15	1237	69	-15	15	1237	69	-15	15	1237	69	-15	15	1237	69	-15	15	1237	69	-15	15	1237
70	-18	18	1255	70	-18	18	1255	70	-18	18	1255	70	-18	18	1255	70	-18	18	1255	70	-18	18	1255	70	-18	18	1255	70	-18	18	1255	70	-18	18	1255
71	-15	15	1270	71	-15	15	1270	71	-15	15	1270	71	-15	15	1270	71	-15	15	1270	71	-15	15	1270	71	-15	15	1270	71	-15	15	1270	71	-15	15	1270
72	-17	17	1287	72	-17	17	1287	72	-17	17	1287	72	-17	17	1287	72	-17	17	1287	72	-17	17	1287	72	-17	17	1287	72	-17	17	1287	72	-17	17	1287
73	-23	23	1310	73	-23	23	1310	73	-23	23	1310	73	-23	23	1310	73	-23	23	1310	73	-23	23	1310	73	-23	23	1310	73	-23	23	1310	73	-23	23	1310
74	-19	19	1329	74	-19	19	1329	74	-19	19	1329	74	-19	19	1329	74	-19	19	1329	74	-19	19	1329	74	-19	19	1329	74	-19	19	1329	74	-19	19	1329
