Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
371	-17	17	22304	371	-17	17	22304
372	-29	29	22333	372	-29	29	22333
373	-16	16	22349	373	-16	16	22349
374	-28	28	22377	374	-28	28	22377
375	-29	29	22406	375	-29	29	22406
376	-24	24	22430	376	-24	24	22430
377	-27	27	22457	377	-27	27	22457
378	-17	17	22474	378	-17	17	22474
379	-25	25	22499	379	-25	25	22499
380	-26	26	22525	380	-26	26	22525
381	-17	17	22542	381	-17	17	22542
382	-22	22	22564	382	-22	22	22564
383	-25	25	22589	383	-25	25	22589
384	-21	21	22610	384	-21	21	22610
385	-136	37	22647	385	-136	37	22647
386	-25	25	22672	386	-25	25	22672
387	-23	23	22695	387	-23	23	22695
388	-17	17	22712	388	-17	17	22712
389	-21	21	22733	389	-21	21	22733
390	-122	23	22756	390	-122	23	22756
391	-31	31	22787	391	-31	31	22787
392	-21	21	22808	392	-21	21	22808
393	-21	21	22829	393	-21	21	22829
394	-27	27	22856	394	-27	27	22856
395	-19	19	22875	395	-19	19	22875
396	-17	17	22892	396	-17	17	22892
397	-24	24	22916	397	-24	24	22916
398	-19	19	22935	398	-19	19	22935
399	-26	26	22961	399	-26	26	22961
400	-21	21	22982	400	-21	21	22982
401	-27	27	23009	401	-27	27	23009
402	-18	18	23027	402	-18	18	23027
403	-21	21	23048	403	-21	21	23048
404	-21	21	23069	404	-21	21	23069
405	-19	19	23088	405	-19	19	23088
406	-19	19	23107	406	-19	19	23107
407	-21	21	23128	407	-21	21	23128
408	-32	32	23160	408	-32	32	23160
409	-17	17	23177	409	-17	17	23177
410	-28	28	23205	410	-28	28	23205
411	-15	15	23220	411	-15	15	23220
412	-24	24	23244	412	-24	24	23244
413	-20	20	23264	413	-20	20	23264
414	-27	27	23291	414	-27	27	23291
415	-15	15	23306	415	-15	15	23306
416	-25	25	23331	416	-25	25	23331
417	-22	22	23353	417	-22	22	23353
418	-24	24	23377	418	-24	24	23377
419	-19	19	23396	419	-19	19	23396
420	-19	19	23415	420	-19	19	23415
421	-19	19	23434	421	-19	19	23434
422	-30	30	23464	422	-30	30	23464
423	-22	22	23486	423	-22	22	23486
424	-19	19	23505	424	-19	19	23505
425	-28	28	23533	425	-28	28	23533
426	-19	19	23552	426	-19	19	23552
427	-19	19	23571	427	-19	19	23571
428	-23	23	23594	428	-23	23	23594
429	-19	19	23613	429	-19	19	23613
430	-32	32	23645	430	-32	32	23645
431	-22	22	23667	431	-22	22	23667
432	-19	19	23686	432	-19	19	23686
433	-21	21	23707	433	-21	21	23707
434	-19	19	23726	434	-19	19	23726
435	-17	17	23743	435	-17	17	23743
436	-21	21	23764	436	-21	21	23764
437	-17	17	23781	437	-17	17	23781
438	-15	15	23796	438	-15	15	23796
439	-23	23	23819	439	-23	23	23819
440	-19	19	23838	440	-19	19	23838
441	-21	21	23859	441	-21	21	23859
442	-19	19	23878	442	-19	19	23878
443	-15	15	23893	443	-15	15	23893
444	-19	19	23912	444	-19	19	23912
445	-19	19	23931	445	-19	19	23931
446	-32	32	23963	446	-32	32	23963
447	-19	19	23982	447	-19	19	23982
448	-21	21	24003	448	-21	21	24003
449	-25	25	24028	449	-25	25	24028
450	-18	18	24046	450	-18	18	24046
451	-20	20	24066	451	-20	20	24066
452	-20	20	24086	452	-20	20	24086
453	-26	26	24112	453	-26	26	24112
454	-15	15	24127	454	-15	15	24127
455	-17	17	24144	455	-17	17	24144
456	-17	17	24161	456	-17	17	24161
457	-17	17	24178	457	-17	17	24178
458	-19	19	24197	458	-19	19	24197
459	-22	22	24219	459	-22	22	24219
460	-25	25	24244	460	-25	25	24244
461	-15	15	24259	461	-15	15	24259
462	-17	17	24276	462	-17	17	24276
463	-15	15	24291	463	-15	15	24291
464	-17	17	24308	464	-17	17	24308
465	-27	27	24335	465	-27	27	24335
466	-25	25	24360	466	-25	25	24360
467	-15	15	24375	467	-15	15	24375
468	-24	24	24399	468	-24	24	24399
469	-21	21	24420	469	-21	21	24420
470	-28	28	24448	470	-28	28	24448
471	-15	15	24463	471	-15	15	24463
472	-15	15	24478	472	-15	15	24478
473	-23	23	24501	473	-23	23	24501
474	-17	17	24518	474	-17	17	24518
475	-17	17	24535	475	-17	17	24535
476	-17	17	24552	476	-17	17	24552
477	-28	28	24580	477	-28	28	24580
478	-15	15	24595	478	-15	15	24595
479	-21	21	24616	479	-21	21	24616
480	-19	19	24635	480	-19	19	24635
481	-17	17	24652	481	-17	17	24652
482	-21	21	24673	482	-21	21	24673
483	-15	15	24688	483	-15	15	24688
484	-17	17	24705	484	-17	17	24705
485	-17	17	24722	485	-17	17	24722
486	-19	19	24741	486	-19	19	24741
487	-21	21	24762	487	-21	21	24762
488	-21	21	24783	488	-21	21	24783
489	-19	19	24802	489	-19	19	24802
490	-15	15	24817	490	-15	15	24817
491	-21	21	24838	491	-21	21	24838
492	-17	17	24855	492	-17	17	24855
493	-31	31	24886	493	-31	31	24886
494	-19	19	24905	494	-19	19	24905
495	-19	19	24924	495	-19	19	24924
496	-19	19	24943	496	-19	19	24943
497	-21	21	24964	497	-21	21	24964
498	-22	22	24986	498	-22	22	24986
499	-22	22	25008	499	-22	22	25008
