Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
228	-183.0	183	37303	228	-183.0	183	37303
229	-168.0	168	37471	229	-168.0	168	37471
230	-166.0	166	37637	230	-166.0	166	37637
231	-138.0	138	37775	231	-138.0	138	37775
232	-169.0	169	37944	232	-169.0	169	37944
233	-166.0	166	38110	233	-166.0	166	38110
234	-189.0	189	38299	234	-189.0	189	38299
235	-160.0	160	38459	235	-160.0	160	38459
236	-170.0	170	38629	236	-170.0	170	38629
237	-178.0	178	38807	237	-178.0	178	38807
238	-190.0	190	38997	238	-190.0	190	38997
239	-258.0	258	39255	239	-258.0	258	39255
240	-195.0	195	39450	240	-195.0	195	39450
241	-145.0	145	39595	241	-145.0	145	39595
242	-154.0	154	39749	242	-154.0	154	39749
243	-183.0	183	39932	243	-183.0	183	39932
244	-145.0	145	40077	244	-145.0	145	40077
245	-226.0	226	40303	245	-226.0	226	40303
246	-156.0	156	40459	246	-156.0	156	40459
247	-187.0	187	40646	247	-187.0	187	40646
248	-138.0	138	40784	248	-138.0	138	40784
249	-137.0	137	40921	249	-137.0	137	40921
250	-238.0	238	41159	250	-238.0	238	41159
251	-134.0	134	41293	251	-134.0	134	41293
252	-141.0	141	41434	252	-141.0	141	41434
253	-209.0	209	41643	253	-209.0	209	41643
254	-146.0	146	41789	254	-146.0	146	41789
255	-142.0	142	41931	255	-142.0	142	41931
256	-133.0	133	42064	256	-133.0	133	42064
257	-133.0	133	42197	257	-133.0	133	42197
258	-135.0	135	42332	258	-135.0	135	42332
259	-139.0	139	42471	259	-139.0	139	42471
260	-147.0	147	42618	260	-147.0	147	42618
261	-152.0	152	42770	261	-152.0	152	42770
262	-170.0	170	42940	262	-170.0	170	42940
263	-143.0	143	43083	263	-143.0	143	43083
264	-227.0	227	43310	264	-227.0	227	43310
265	-215.0	215	43525	265	-215.0	215	43525
266	-201.0	201	43726	266	-201.0	201	43726
267	-250.0	250	43976	267	-250.0	250	43976
268	-155.0	155	44131	268	-155.0	155	44131
269	-136.0	136	44267	269	-136.0	136	44267
270	-164.0	164	44431	270	-164.0	164	44431
271	-149.0	149	44580	271	-149.0	149	44580
272	-155.0	155	44735	272	-155.0	155	44735
273	-137.0	137	44872	273	-137.0	137	44872
274	-134.0	134	45006	274	-134.0	134	45006
275	-153.0	153	45159	275	-153.0	153	45159
276	-137.0	137	45296	276	-137.0	137	45296
277	-146.0	146	45442	277	-146.0	146	45442
278	-147.0	147	45589	278	-147.0	147	45589
279	-144.0	144	45733	279	-144.0	144	45733
280	-374.0	374	46107	280	-374.0	374	46107
281	-144.0	144	46251	281	-144.0	144	46251
282	-137.0	137	46388	282	-137.0	137	46388
283	-195.0	195	46583	283	-195.0	195	46583
284	-150.0	150	46733	284	-150.0	150	46733
285	-137.0	137	46870	285	-137.0	137	46870
286	-192.0	192	47062	286	-192.0	192	47062
287	-211.0	211	47273	287	-211.0	211	47273
288	-141.0	141	47414	288	-141.0	141	47414
289	-212.0	212	47626	289	-212.0	212	47626
290	-188.0	188	47814	290	-188.0	188	47814
291	-148.0	148	47962	291	-148.0	148	47962
292	-288.0	288	48250	292	-288.0	288	48250
293	-286.0	286	48536	293	-286.0	286	48536
294	-469.0	469	49005	294	-469.0	469	49005
295	-151.0	151	49156	295	-151.0	151	49156
296	-162.0	162	49318	296	-162.0	162	49318
297	-160.0	160	49478	297	-160.0	160	49478
298	-153.0	153	49631	298	-153.0	153	49631
299	-141.0	141	49772	299	-141.0	141	49772
