Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443	37	-47	47	3443
38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470	38	-27	27	3470
39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523	39	-152	53	3523
40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576	40	-152	53	3576
41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599	41	-23	23	3599
42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631	42	-32	32	3631
43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660	43	-29	29	3660
44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701	44	-41	41	3701
45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739	45	-38	38	3739
46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770	46	-31	31	3770
47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815	47	-45	45	3815
48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850	48	-35	35	3850
49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898	49	-48	48	3898
50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946	50	-48	48	3946
51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977	51	-130	31	3977
52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035	52	-157	58	4035
53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073	53	-38	38	4073
54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119	54	-46	46	4119
55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142	55	-23	23	4142
56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169	56	-27	27	4169
57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198	57	-29	29	4198
58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225	58	-27	27	4225
59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256	59	-31	31	4256
60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283	60	-27	27	4283
61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305	61	-22	22	4305
62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334	62	-29	29	4334
63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381	63	-47	47	4381
64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402	64	-21	21	4402
65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431	65	-29	29	4431
66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470	66	-39	39	4470
67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506	67	-135	36	4506
68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576	68	-70	70	4576
69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597	69	-21	21	4597
70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632	70	-35	35	4632
71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655	71	-23	23	4655
72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672	72	-17	17	4672
73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697	73	-25	25	4697
74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726	74	-29	29	4726
75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755	75	-29	29	4755
76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784	76	-128	29	4784
77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810	77	-26	26	4810
78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830	78	-20	20	4830
79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854	79	-24	24	4854
80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880	80	-26	26	4880
81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899	81	-19	19	4899
82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921	82	-22	22	4921
83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944	83	-23	23	4944
84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959	84	-15	15	4959
85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994	85	-35	35	4994
86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023	86	-29	29	5023
87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043	87	-119	20	5043
88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060	88	-17	17	5060
89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075	89	-15	15	5075
90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101	90	-26	26	5101
91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120	91	-19	19	5120
92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137	92	-17	17	5137
93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154	93	-17	17	5154
94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171	94	-17	17	5171
95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188	95	-17	17	5188
96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211	96	-23	23	5211
97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226	97	-15	15	5226
98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248	98	-22	22	5248
99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265	99	-17	17	5265
100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284	100	-19	19	5284
101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307	101	-23	23	5307
