Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
123	-47	47	9979	123	-47	47	9979	123	-47	47	9979	123	-47	47	9979	123	-47	47	9979	123	-47	47	9979
124	-38	38	10017	124	-38	38	10017	124	-38	38	10017	124	-38	38	10017	124	-38	38	10017	124	-38	38	10017
125	-24	24	10041	125	-24	24	10041	125	-24	24	10041	125	-24	24	10041	125	-24	24	10041	125	-24	24	10041
126	-41	41	10082	126	-41	41	10082	126	-41	41	10082	126	-41	41	10082	126	-41	41	10082	126	-41	41	10082
127	-22	22	10104	127	-22	22	10104	127	-22	22	10104	127	-22	22	10104	127	-22	22	10104	127	-22	22	10104
128	-30	30	10134	128	-30	30	10134	128	-30	30	10134	128	-30	30	10134	128	-30	30	10134	128	-30	30	10134
129	-24	24	10158	129	-24	24	10158	129	-24	24	10158	129	-24	24	10158	129	-24	24	10158	129	-24	24	10158
130	-41	41	10199	130	-41	41	10199	130	-41	41	10199	130	-41	41	10199	130	-41	41	10199	130	-41	41	10199
131	-28	28	10227	131	-28	28	10227	131	-28	28	10227	131	-28	28	10227	131	-28	28	10227	131	-28	28	10227
132	-32	32	10259	132	-32	32	10259	132	-32	32	10259	132	-32	32	10259	132	-32	32	10259	132	-32	32	10259
133	-35	35	10294	133	-35	35	10294	133	-35	35	10294	133	-35	35	10294	133	-35	35	10294	133	-35	35	10294
134	-153	54	10348	134	-153	54	10348	134	-153	54	10348	134	-153	54	10348	134	-153	54	10348	134	-153	54	10348
135	-40	40	10388	135	-40	40	10388	135	-40	40	10388	135	-40	40	10388	135	-40	40	10388	135	-40	40	10388
136	-39	39	10427	136	-39	39	10427	136	-39	39	10427	136	-39	39	10427	136	-39	39	10427	136	-39	39	10427
137	-44	44	10471	137	-44	44	10471	137	-44	44	10471	137	-44	44	10471	137	-44	44	10471	137	-44	44	10471
138	-29	29	10500	138	-29	29	10500	138	-29	29	10500	138	-29	29	10500	138	-29	29	10500	138	-29	29	10500
139	-148	49	10549	139	-148	49	10549	139	-148	49	10549	139	-148	49	10549	139	-148	49	10549	139	-148	49	10549
140	-36	36	10585	140	-36	36	10585	140	-36	36	10585	140	-36	36	10585	140	-36	36	10585	140	-36	36	10585
141	-150	51	10636	141	-150	51	10636	141	-150	51	10636	141	-150	51	10636	141	-150	51	10636	141	-150	51	10636
142	-39	39	10675	142	-39	39	10675	142	-39	39	10675	142	-39	39	10675	142	-39	39	10675	142	-39	39	10675
143	-34	34	10709	143	-34	34	10709	143	-34	34	10709	143	-34	34	10709	143	-34	34	10709	143	-34	34	10709
144	-46	46	10755	144	-46	46	10755	144	-46	46	10755	144	-46	46	10755	144	-46	46	10755	144	-46	46	10755
145	-22	22	10777	145	-22	22	10777	145	-22	22	10777	145	-22	22	10777	145	-22	22	10777	145	-22	22	10777
146	-33	33	10810	146	-33	33	10810	146	-33	33	10810	146	-33	33	10810	146	-33	33	10810	146	-33	33	10810
