Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802	34	-13	13	802
35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815	35	-13	13	815
36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831	36	-16	16	831
37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844	37	-13	13	844
38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859	38	-15	15	859
39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872	39	-13	13	872
40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885	40	-13	13	885
41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918	41	-231	33	918
42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931	42	-13	13	931
43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946	43	-15	15	946
44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959	44	-13	13	959
45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972	45	-13	13	972
46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987	46	-15	15	987
47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006	47	-19	19	1006
48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020	48	-14	14	1020
49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067	49	-443	47	1067
