Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976	38	-17	17	1976
39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998	39	-22	22	1998
40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015	40	-17	17	2015
41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033	41	-18	18	2033
42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050	42	-17	17	2050
43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067	43	-17	17	2067
44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085	44	-18	18	2085
45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103	45	-18	18	2103
46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121	46	-18	18	2121
47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144	47	-23	23	2144
48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169	48	-25	25	2169
49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190	49	-21	21	2190
