Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751	40	-17	17	2751
41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772	41	-120	21	2772
42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790	42	-117	18	2790
43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807	43	-17	17	2807
44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826	44	-19	19	2826
45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849	45	-23	23	2849
46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870	46	-21	21	2870
47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892	47	-22	22	2892
48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912	48	-20	20	2912
49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933	49	-21	21	2933
