Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210	32	-140	41	5210
33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238	33	-28	28	5238
34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258	34	-20	20	5258
35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296	35	-137	38	5296
36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317	36	-21	21	5317
37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336	37	-19	19	5336
38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376	38	-1624	40	5376
39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421	39	-1926	45	5421
40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442	40	-21	21	5442
41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504	41	-62	62	5504
42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526	42	-22	22	5526
43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593	43	-166	67	5593
44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631	44	-38	38	5631
45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656	45	-25	25	5656
46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737	46	-1467	81	5737
47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762	47	-322	25	5762
48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781	48	-19	19	5781
49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804	49	-23	23	5804
