Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
216	-110.0	110	27292	216	-110.0	110	27292
217	-85.0	85	27377	217	-85.0	85	27377
218	-103.0	103	27480	218	-103.0	103	27480
219	-111.0	111	27591	219	-111.0	111	27591
220	-105.0	105	27696	220	-105.0	105	27696
221	-110.0	110	27806	221	-110.0	110	27806
222	-109.0	109	27915	222	-109.0	109	27915
223	-93.0	93	28008	223	-93.0	93	28008
224	-166.0	166	28174	224	-166.0	166	28174
225	-108.0	108	28282	225	-108.0	108	28282
226	-89.0	89	28371	226	-89.0	89	28371
227	-105.0	105	28476	227	-105.0	105	28476
228	-109.0	109	28585	228	-109.0	109	28585
229	-98.0	98	28683	229	-98.0	98	28683
230	-97.0	97	28780	230	-97.0	97	28780
231	-89.0	89	28869	231	-89.0	89	28869
232	-85.0	85	28954	232	-85.0	85	28954
233	-120.0	120	29074	233	-120.0	120	29074
234	-111.0	111	29185	234	-111.0	111	29185
235	-96.0	96	29281	235	-96.0	96	29281
236	-106.0	106	29387	236	-106.0	106	29387
237	-111.0	111	29498	237	-111.0	111	29498
238	-108.0	108	29606	238	-108.0	108	29606
239	-108.0	108	29714	239	-108.0	108	29714
240	-106.0	106	29820	240	-106.0	106	29820
241	-106.0	106	29926	241	-106.0	106	29926
242	-108.0	108	30034	242	-108.0	108	30034
243	-84.0	84	30118	243	-84.0	84	30118
244	-87.0	87	30205	244	-87.0	87	30205
245	-107.0	107	30312	245	-107.0	107	30312
246	-106.0	106	30418	246	-106.0	106	30418
247	-106.0	106	30524	247	-106.0	106	30524
248	-108.0	108	30632	248	-108.0	108	30632
249	-106.0	106	30738	249	-106.0	106	30738
250	-106.0	106	30844	250	-106.0	106	30844
251	-85.0	85	30929	251	-85.0	85	30929
252	-108.0	108	31037	252	-108.0	108	31037
253	-110.0	110	31147	253	-110.0	110	31147
254	-115.0	115	31262	254	-115.0	115	31262
255	-109.0	109	31371	255	-109.0	109	31371
256	-104.0	104	31475	256	-104.0	104	31475
257	-107.0	107	31582	257	-107.0	107	31582
258	-83.0	83	31665	258	-83.0	83	31665
259	-107.0	107	31772	259	-107.0	107	31772
260	-105.0	105	31877	260	-105.0	105	31877
261	-168.0	168	32045	261	-168.0	168	32045
262	-88.0	88	32133	262	-88.0	88	32133
263	-106.0	106	32239	263	-106.0	106	32239
264	-89.0	89	32328	264	-89.0	89	32328
265	-105.0	105	32433	265	-105.0	105	32433
266	-105.0	105	32538	266	-105.0	105	32538
267	-105.0	105	32643	267	-105.0	105	32643
268	-96.0	96	32739	268	-96.0	96	32739
269	-91.0	91	32830	269	-91.0	91	32830
270	-107.0	107	32937	270	-107.0	107	32937
271	-92.0	92	33029	271	-92.0	92	33029
272	-208.0	208	33237	272	-208.0	208	33237
273	-103.0	103	33340	273	-103.0	103	33340
274	-104.0	104	33444	274	-104.0	104	33444
275	-100.0	100	33544	275	-100.0	100	33544
276	-108.0	108	33652	276	-108.0	108	33652
277	-86.0	86	33738	277	-86.0	86	33738
278	-106.0	106	33844	278	-106.0	106	33844
279	-121.0	121	33965	279	-121.0	121	33965
280	-105.0	105	34070	280	-105.0	105	34070
281	-108.0	108	34178	281	-108.0	108	34178
282	-85.0	85	34263	282	-85.0	85	34263
283	-107.0	107	34370	283	-107.0	107	34370
284	-107.0	107	34477	284	-107.0	107	34477
285	-107.0	107	34584	285	-107.0	107	34584
286	-105.0	105	34689	286	-105.0	105	34689
287	-105.0	105	34794	287	-105.0	105	34794
288	-102.0	102	34896	288	-102.0	102	34896
289	-107.0	107	35003	289	-107.0	107	35003
290	-108.0	108	35111	290	-108.0	108	35111
291	-98.0	98	35209	291	-98.0	98	35209
292	-106.0	106	35315	292	-106.0	106	35315
293	-106.0	106	35421	293	-106.0	106	35421
294	-108.0	108	35529	294	-108.0	108	35529
295	-108.0	108	35637	295	-108.0	108	35637
296	-184.0	184	35821	296	-184.0	184	35821
297	-107.0	107	35928	297	-107.0	107	35928
298	-106.0	106	36034	298	-106.0	106	36034
299	-106.0	106	36140	299	-106.0	106	36140
