Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935	39	-15	15	935
40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948	40	-13	13	948
41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963	41	-15	15	963
42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978	42	-15	15	978
43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991	43	-13	13	991
44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011	44	-119	20	1011
45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030	45	-118	19	1030
46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043	46	-13	13	1043
47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056	47	-13	13	1056
48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069	48	-13	13	1069
49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084	49	-15	15	1084
